_computeFunctionValue              6    TK_FUNID            ----    function                      yes ----
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    termPrime                     no termPrime
-                                  11    TK_MINUS            ----    lowPrecedenceOperators        yes ----
----                               -1    -----------         ----    expPrime                      no lowPrecedenceOperators
----                               -1    -----------         ----    expPrime                      no expPrime
(                                  11    TK_OP               ----    factor                        yes ----
----                               -1    -----------         ----    term                          no factor
c5                                 11    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    variable                      no singleOrRecId
EPSILON                            -1    TK_EPS              ----    optionalFieldAccess           yes ----
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    term                          no factor
----                               -1    -----------         ----    arithmeticExpression          no term
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    term                          no termPrime
----                               -1    -----------         ----    factor                        no arithmeticExpression
-                                  11    TK_MINUS            ----    lowPrecedenceOperators        yes ----
----                               -1    -----------         ----    expPrime                      no lowPrecedenceOperators
----                               -1    -----------         ----    arithmeticExpression          no expPrime
5                                  11    TK_NUM              5          variable                      yes ----
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    term                          no factor
----                               -1    -----------         ----    expPrime                      no term
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    term                          no termPrime
EPSILON                            -1    TK_EPS              ----    expPrime                      yes ----
----                               -1    -----------         ----    expPrime                      no expPrime
)                                  11    TK_CL               ----    factor                        yes ----
----                               -1    -----------         ----    expPrime                      no term
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    term                          no termPrime
EPSILON                            -1    TK_EPS              ----    expPrime                      yes ----
----                               -1    -----------         ----    expPrime                      no expPrime
)                                  11    TK_CL               ----    factor                        yes ----
----                               -1    -----------         ----    arithmeticExpression          no term
/                                  11    TK_DIV              ----    highPrecedenceOperators       yes ----
----                               -1    -----------         ----    termPrime                     no highPrecedenceOperators
----                               -1    -----------         ----    term                          no termPrime
